title,total_sales,critic_score,popularity
Amazing Island,0.06,7.1,Menos popular
America's Army: True Soldiers,0.08,4.5,Menos popular
America's Test Kitchen: Let's Get Cooking,0.27,8.5,Moderadamente popular
American Bass Challenge,0.05,6.7,Menos popular
Amped 3,0.16,7.2,Moderadamente popular
Andretti Racing,0.77,7.3,Moderadamente popular
Animal Boxing,0.03,6.1,Menos popular
Animal Crossing: Amiibo Festival,0.49,4.8,Menos popular
Animorphs: Shattered Reality,0.06,3.5,Menos popular
Anno 1701: Dawn of Discovery,0.13,8.0,Menos popular
Anno 2070,1.4,8.7,Muy popular
Another Code R: A Journey into Lost Memories,0.06,5.9,Menos popular
Anubis II,0.07,1.5,Menos popular
Apache: Air Assault,0.16,6.8,Moderadamente popular
Ape Academy 2,0.0,6.4,Menos popular
Ape Escape,1.63,9.3,Muy popular
Ape Escape 2,0.63,8.0,Muy popular
Ape Escape 3,0.13,7.8,Menos popular
Ape Escape Academy,0.33,5.3,Menos popular
Ape Escape: On the Loose,0.7,6.6,Moderadamente popular
Apocalypse,0.45,6.7,Moderadamente popular
Apollo Justice: Ace Attorney,0.99,8.0,Muy popular
Aquaman: Battle for Atlantis,0.01,2.4,Menos popular
Ar tonelico 2: Melody of Metafalica,0.18,7.2,Moderadamente popular
Ar tonelico Qoga: Knell of Ar Ciel,0.24,7.0,Moderadamente popular
Ar tonelico: Melody of Elemia,0.1,7.0,Menos popular
Arc the Lad: Twilight of the Spirits,0.36,7.3,Moderadamente popular
Arcade Party Pak,0.11,7.6,Menos popular
Arcana Heart,0.16,8.1,Moderadamente popular
Arcana Heart 3,0.2,7.0,Moderadamente popular
Arcania: Gothic 4,0.27,6.0,Menos popular
Archer Maclean's Mercury,0.56,7.7,Moderadamente popular
Are You Smarter than a 5th Grader? Game Time,0.12,4.0,Menos popular
Area 51,0.45,7.7,Moderadamente popular
Armored Core,0.41,7.2,Moderadamente popular
Armored Core 4,0.45,6.55,Menos popular
Armored Core SL: Silent Line Portable,0.03,5.8,Menos popular
Armored Core: For Answer,0.33999999999999997,6.3,Menos popular
Armored Core: Formula Front Extreme Battle,0.05,6.7,Menos popular
Armored Core: Last Raven Portable,0.03,5.0,Menos popular
Armored Core: Master of Arena,0.26,7.2,Moderadamente popular
Armored Core: Project Phantasma,0.28,7.2,Moderadamente popular
Armorines: Project S.W.A.R.M.,0.34,4.7,Menos popular
Army Men Advance,0.0,6.1,Menos popular
Army Men: Air Combat,0.24,7.6,Moderadamente popular
Army Men: Air Combat - The Elite Missions,0.01,3.8,Menos popular
Army Men: Operation Green,0.0,6.2,Menos popular
Army Men: RTS,0.18,6.5,Menos popular
Army Men: Sarge's Heroes,0.81,4.2,Menos popular
Army Men: Sarge's Heroes 2,0.42,6.0,Menos popular
Army of Two,2.8099999999999996,7.050000000000001,Moderadamente popular
Army of Two: The 40th Day,2.16,6.333333333333333,Menos popular
Around the World in 80 Days,0.05,3.5,Menos popular
Ashes Cricket 2009,0.17,6.8,Moderadamente popular
Asphalt 3D,0.49,4.0,Menos popular
Asphalt: Urban GT,0.59,5.0,Menos popular
Assassin's Creed,11.29,8.0,Muy popular
Assassin's Creed II,11.41,8.866666666666667,Muy popular
Assassin's Creed II: Discovery,0.28,7.3,Moderadamente popular
Assassin's Creed III,7.75,8.366666666666667,Muy popular
Assassin's Creed IV: Black Flag,13.709999999999999,8.466666666666667,Muy popular
Assassin's Creed Odyssey,3.18,9.5,Muy popular
Assassin's Creed Rogue Remastered,0.04,6.0,Menos popular
Assassin's Creed Syndicate,3.6,8.6,Muy popular
Assassin's Creed: Altair's Chronicles,0.05,5.7,Menos popular
Assassin's Creed: Bloodlines,1.26,6.3,Menos popular
Assassin's Creed: Brotherhood,6.97,8.966666666666667,Muy popular
Assassin's Creed: Revelations,8.45,8.350000000000001,Muy popular
Assetto Corsa,0.02,6.0,Menos popular
Asterix and Obelix XXL2,0.06,6.5,Menos popular
