title,total_sales,critic_score,popularity
Chaos Legion,0.3,6.2,Menos popular
Chaos Wars,0.04,6.8,Menos popular
Chaotic: Shadow Warriors,0.16,6.2,Menos popular
Charlie Blasts Territory,0.03,5.9,Menos popular
Charlie and the Chocolate Factory,0.18,3.9,Menos popular
Charlie's Angels,0.02,2.5,Menos popular
Chessmaster,0.04,7.5,Menos popular
Chessmaster II,0.15,7.5,Menos popular
Chibi-Robo! Plug into Adventure!,0.39,7.4,Moderadamente popular
Chibi-Robo! Zip Lash,0.32,5.5,Menos popular
Chicken Hunter,0.02,3.5,Menos popular
Chicken Run,0.13,6.3,Menos popular
Chicken Shoot,0.35,3.0,Menos popular
Child of Eden,0.66,8.0,Muy popular
Children of Mana,0.48,7.0,Moderadamente popular
Chocobo Racing,0.44,5.4,Menos popular
Chocobo's Dungeon 2,0.7,6.2,Menos popular
ChuChu Rocket!,0.09,8.1,Menos popular
Circuit Breakers,0.07,5.9,Menos popular
Cities XL 2012,0.06,6.0,Menos popular
Civilization II,0.28,8.2,Moderadamente popular
Clash of the Titans: The Videogame,0.16,3.8,Menos popular
Class of Heroes,0.14,5.4,Menos popular
Classic NES Series: Bomberman,0.11,5.4,Menos popular
Classic NES Series: Castlevania,0.33,7.4,Moderadamente popular
Classic NES Series: Donkey Kong,0.17,6.5,Menos popular
Classic NES Series: Dr. Mario,0.13,6.1,Menos popular
Classic NES Series: Excitebike,0.1,6.4,Menos popular
Classic NES Series: Ice Climber,0.2,6.1,Menos popular
Classic NES Series: Metroid,0.07,5.2,Menos popular
Classic NES Series: Pac-Man,0.46,5.7,Menos popular
Classic NES Series: The Legend of Zelda,0.24,8.4,Moderadamente popular
Classic NES Series: Xevious,0.12,6.4,Menos popular
Classic NES Series: Zelda II: The Adventure of Link,0.7,6.6,Moderadamente popular
ClayFighter 63 1/3,0.21,3.1,Menos popular
Clive Barker's Jericho,0.53,6.0,Menos popular
Clock Tower,0.53,6.1,Menos popular
Clock Tower 3,0.33,7.0,Moderadamente popular
Clock Tower II: The Struggle Within,0.17,4.4,Menos popular
Cloudy With A Chance of Meatballs,0.11,6.7,Menos popular
Cloudy With a Chance of Meatballs,0.27,6.466666666666666,Menos popular
Club Penguin: Elite Penguin Force,3.14,7.0,Moderadamente popular
Code Name: S.T.E.A.M.,0.22,8.0,Moderadamente popular
Code of  Princess EX,0.03,7.2,Menos popular
Code of Princess,0.2,7.2,Moderadamente popular
Coded Arms,0.75,6.1,Menos popular
Codename Tenka,0.09,7.0,Menos popular
Colin McRae Rally,2.87,7.9,Muy popular
Colin McRae Rally 2.0,0.93,8.4,Muy popular
College Hoops 2K6,0.47,7.7,Moderadamente popular
College Hoops 2K7,0.39,8.05,Moderadamente popular
Colony Wars,0.42,8.8,Moderadamente popular
Colony Wars III: Red Sun,0.12,8.1,Menos popular
Colony Wars: Vengeance,0.23,8.6,Moderadamente popular
Combat of Giants: Dinosaurs 3D,0.39,4.3,Menos popular
Command & Conquer,0.4,8.4,Moderadamente popular
Command & Conquer 3: Kane's Wrath,0.24,7.0,Moderadamente popular
Command & Conquer 3: Tiberium Wars,0.42,7.6,Moderadamente popular
Command & Conquer 4: Tiberian Twilight,0.01,6.6,Menos popular
Command & Conquer: Generals,0.01,8.6,Menos popular
Command & Conquer: Red Alert,0.41,7.8,Moderadamente popular
Command & Conquer: Red Alert 2,1.34,8.9,Muy popular
Command & Conquer: Red Alert 3,1.11,7.8,Muy popular
Command & Conquer: Red Alert 3 Ultimate Edition,0.35,7.4,Moderadamente popular
Company of Heroes,0.04,9.4,Menos popular
Conan,0.19,7.1,Moderadamente popular
Condemned 2: Bloodshot,1.02,8.3,Muy popular
Conduit 2,0.12,6.3,Menos popular
Conflict: Denied Ops,0.38,5.25,Menos popular
Conflict: Desert Storm,0.08,6.3,Menos popular
Conflict: Desert Storm II - Back to Bagdhad,0.04,6.9,Menos popular
Conker's Bad Fur Day,0.77,9.2,Muy popular
Conker: Live And Reloaded,0.71,8.1,Muy popular
Contra 4,0.3,8.1,Moderadamente popular
Contra Advance: The Alien Wars EX,0.11,6.7,Menos popular
Contra: Legacy of War,0.67,6.5,Menos popular
Contra: Shattered Soldier,0.58,7.3,Moderadamente popular
Cooking Mama,5.66,6.6,Moderadamente popular
Cooking Mama 2: Dinner With Friends,3.58,6.9,Moderadamente popular
Cooking Mama: Cook Off,2.89,5.9,Menos popular
Cooking Mama: Sweet Shop,0.07,6.0,Menos popular
Corvette,0.28,4.9,Menos popular
Crackdown 2,1.12,7.5,Moderadamente popular
Crash Bandicoot 2: N-Tranced,1.36,7.5,Moderadamente popular
Crash Bandicoot N. Sane Trilogy,1.11,6.0,Menos popular
Crash Bandicoot Purple: Ripto's Rampage,0.64,6.7,Moderadamente popular
Crash Bandicoot: The Huge Adventure,1.73,8.3,Muy popular
Crash Bandicoot: The Wrath of Cortex,6.01,6.45,Menos popular
Crash Bash,3.39,6.8,Moderadamente popular
Crash Nitro Kart,0.46,7.7,Moderadamente popular
Crash Tag Team Racing,0.25,6.3,Menos popular
Crash Team Racing,4.79,9.2,Muy popular
Crash of the Titans,0.96,6.449999999999999,Menos popular
Crash: Mind Over Mutant,0.87,6.15,Menos popular
Crazy Taxi,4.82,8.233333333333333,Muy popular
Crazy Taxi 2,0.07,8.3,Menos popular
Crazy Taxi: Catch a Ride,0.3,4.8,Menos popular
Crazy Taxi: Fare Wars,0.48,6.3,Menos popular
Create,0.36,6.233333333333333,Menos popular
Crime Scene,0.02,8.0,Menos popular
Crimson Gem Saga,0.06,7.3,Menos popular
Crimson Tears,0.03,5.9,Menos popular
Cross Edge,0.23,5.4,Menos popular
"Crouching Tiger, Hidden Dragon",0.03,5.9,Menos popular
Cruis'n Exotica,0.21,5.8,Menos popular
Cruis'n Velocity,0.0,5.3,Menos popular
Crusaders of Might and Magic,0.25,6.0,Menos popular
Crush,0.08,8.5,Menos popular
Crush3D,0.15,6.5,Menos popular
Cryostasis: Sleep of Reason,0.0,7.0,Menos popular
Crysis 2,3.43,8.733333333333333,Muy popular
Crysis 3,1.83,7.8999999999999995,Muy popular
Cubic Ninja,0.1,5.5,Menos popular
Cubivore: Survival of the Fittest,0.17,7.1,Moderadamente popular
Culdcept Revolt,0.07,7.3,Menos popular
Culdcept SAGA,0.16,7.7,Moderadamente popular
Curious George,0.16,6.6,Moderadamente popular
Cursed Mountain,0.21,6.3,Menos popular
Custom Robo Arena,0.16,7.4,Moderadamente popular
DC Universe Online,0.74,6.75,Moderadamente popular
DECA Sports Freedom,0.33,3.0,Menos popular
DJ Hero,3.0900000000000003,8.45,Muy popular
DJ Hero 2,2.23,8.533333333333333,Muy popular
DJ Max Fever,0.13,7.7,Menos popular
DK: King of Swing,0.24,7.1,Moderadamente popular
Daigasso! Band Brothers,0.19,8.0,Moderadamente popular
Damnation,0.16,3.35,Menos popular
Dance Central 2,2.04,8.6,Muy popular
Dance Dance Revolution: Mario Mix,0.47,7.0,Moderadamente popular
Dance Dance Revolution: Mario Mix (JP sales),0.06,7.5,Menos popular
Dance Paradise,0.12,7.0,Menos popular
DanceMasters,0.2,6.2,Menos popular
Danny Phantom: The Ultimate Enemy,0.22,7.5,Moderadamente popular
Dante's Inferno,2.2,6.966666666666666,Moderadamente popular
Daredevil,0.0,5.3,Menos popular
Dark Angel: Vampire Apocalypse,0.09,4.6,Menos popular
Dark Arena,0.04,6.8,Menos popular
Dark Cloud,1.54,8.2,Muy popular
Dark Cloud 2,0.96,8.6,Muy popular
Dark Messiah Might and Magic,0.0,7.3,Menos popular
Dark Messiah of Might and Magic Elements,0.2,5.0,Menos popular
Dark Sector,0.95,7.15,Moderadamente popular
Dark Souls,2.05,9.0,Muy popular
Dark Souls: Remastered,0.11,8.0,Menos popular
Dark Void,0.6799999999999999,6.099999999999999,Menos popular
DarkStar One: Broken Alliance,0.2,6.4,Menos popular
Darkest of Days,0.1,4.6,Menos popular
Darksiders,1.49,7.866666666666667,Muy popular
Darksiders II,1.8,8.366666666666667,Muy popular
Darksiders II: Deathinitive Edition,0.32,7.5,Moderadamente popular
Darkspore,0.11,6.6,Menos popular
Darkstalkers Chronicle: The Chaos Tower,0.15,7.5,Menos popular
Darkstone,0.66,7.1,Moderadamente popular
Data East Arcade Classics,0.09,5.0,Menos popular
Dave Mirra BMX Challenge,0.07,3.5,Menos popular
Dave Mirra Freestyle BMX,1.05,7.4,Moderadamente popular
Dave Mirra Freestyle BMX 2,0.19,8.0,Moderadamente popular
Dave Mirra Freestyle BMX 3,0.03,8.0,Menos popular
David Beckham Soccer,0.0,3.1,Menos popular
Davis Cup Tennis,0.02,6.4,Menos popular
Dawn of Discovery,0.67,8.066666666666668,Muy popular
Dawn of Discovery: Venice,0.01,7.0,Menos popular
Dead Cells,0.11,9.3,Menos popular
Dead Head Fred,0.04,7.6,Menos popular
Dead Island,4.67,6.85,Moderadamente popular
Dead Island: Riptide,1.4300000000000002,6.1,Menos popular
Dead Rising 2,2.8600000000000003,8.149999999999999,Muy popular
Dead Rising 2: Off the Record,0.5900000000000001,7.35,Moderadamente popular
Dead Rising: Chop Till You Drop,0.29,6.7,Moderadamente popular
Dead Space,3.9899999999999998,8.866666666666667,Muy popular
Dead Space 2,3.27,9.0,Muy popular
Dead Space Extraction,0.47,8.2,Moderadamente popular
Dead or Alive,0.46,8.100000000000001,Moderadamente popular
Dead or Alive 2,0.14,9.0,Menos popular
Dead or Alive 5,0.98,7.6,Moderadamente popular
Dead or Alive 5 Last Round,0.44999999999999996,7.3,Moderadamente popular
Dead or Alive 5 Plus,0.1,8.0,Menos popular
Dead or Alive Paradise,0.2,4.5,Menos popular
Dead or Alive Ultimate,0.5,8.1,Moderadamente popular
Dead or Alive Xtreme 2,0.25,5.3,Menos popular
Dead or Alive Xtreme Beach Volleyball,0.59,6.6,Moderadamente popular
Dead to Rights,0.02,3.6,Menos popular
Dead to Rights: Reckoning,0.13,5.2,Menos popular
Dead to Rights: Retribution,0.49,5.85,Menos popular
Deadly Creatures,0.22,6.9,Moderadamente popular
Deadly Premonition,0.26,6.0,Menos popular
Death Jr.,0.19,5.9,Menos popular
Death Jr. II: Root of Evil,0.05,6.9,Menos popular
Death Jr.: Root of Evil,0.11,7.3,Menos popular
DeathSmiles,0.28,8.0,Moderadamente popular
Def Jam Fight For NY: The Takeover,0.09,8.0,Menos popular
Def Jam Icon,0.78,6.449999999999999,Menos popular
Def Jam Rapstar,0.6499999999999999,7.4,Moderadamente popular
Def Jam Vendetta,0.25,8.8,Moderadamente popular
Defender,0.01,3.5,Menos popular
Defender of the Crown,0.0,6.8,Menos popular
Dementium II,0.11,7.5,Menos popular
Dementium: The Ward,0.17,7.5,Moderadamente popular
DemiKids: Dark Version,0.02,6.6,Menos popular
DemiKids: Light Version,0.02,6.6,Menos popular
Demigod,0.02,7.2,Menos popular
Denki Blocks!,0.04,8.0,Menos popular
Desert Strike Advance,0.06,6.8,Menos popular
Destiny,3.41,8.3,Muy popular
Destroy All Humans! Big Willy Unleashed,0.13,5.3,Menos popular
Destroy All Humans! Path of the Furon,0.22,4.55,Menos popular
Detective Pikachu,0.47,7.1,Moderadamente popular
Deus Ex,0.01,9.2,Menos popular
Deus Ex: Human Revolution,3.4499999999999997,8.725,Muy popular
Deus Ex: Invisible War,0.33,8.5,Moderadamente popular
Deus Ex: The Conspiracy,0.21,8.0,Moderadamente popular
Devil May Cry 3: Dante's Awakening Special Edition,0.01,7.1,Menos popular
Devil May Cry 4,2.92,8.35,Muy popular
Devil's Third,0.05,3.8,Menos popular
Dexter's Laboratory Deesaster Strikes,0.41,6.5,Menos popular
DiRT,1.92,8.350000000000001,Muy popular
DiRT 2,2.5300000000000002,7.720000000000001,Moderadamente popular
DiRT 3,1.92,9.033333333333333,Muy popular
DiRT 4,0.73,9.0,Muy popular
DiRT Rally,0.51,8.3,Moderadamente popular
Diablo,0.58,8.3,Moderadamente popular
Diablo III: Eternal Collection,0.67,9.0,Muy popular
Die Hard Trilogy,1.54,8.5,Muy popular
Digimon Battle Spirit 2,0.15,7.0,Menos popular
Digimon Racing,0.13,6.0,Menos popular
Digimon World 4,0.09,5.2,Menos popular
Dillon's Dead-Heat Breakers,0.0,7.0,Menos popular
Diner Dash: Sizzle & Serve,0.12,5.9,Menos popular
Dino Master: Dig Discover Duel,0.07,2.5,Menos popular
Dinotopia: The Sunstone Odyssey,0.02,4.7,Menos popular
Dinotopia: The Timestone Pirates,0.19,6.1,Menos popular
Dirge of Cerberus: Final Fantasy VII,0.97,5.8,Menos popular
Disaster: Day of Crisis,0.07,6.4,Menos popular
Disgaea 1 Complete,0.06,8.0,Menos popular
Disgaea 2: Cursed Memories,0.33,7.9,Moderadamente popular
Disgaea 2: Dark Hero Days,0.25,8.1,Moderadamente popular
Disgaea 3: Absence of Justice,0.55,7.8,Moderadamente popular
Disgaea 4: A Promise Unforgotten,0.58,7.9,Moderadamente popular
Disgaea DS,0.18,8.0,Moderadamente popular
Disgaea Infinite,0.1,6.8,Menos popular
Disgaea: Afternoon of Darkness,0.24,8.7,Moderadamente popular
Disgaea: Hour of Darkness,0.33,8.8,Moderadamente popular
Disney Epic Mickey 2: The Power of Two,0.24,5.9,Menos popular
Disney Infinity,0.67,7.6,Moderadamente popular
Disney Infinity 2.0: Marvel Super Heroes,0.75,8.0,Muy popular
Disney Magic World 2,0.58,7.5,Moderadamente popular
Disney Sing It: Pop Hits,1.48,6.8,Moderadamente popular
Disney Sports Basketball,0.03,5.35,Menos popular
Disney Sports Football,0.02,6.2,Menos popular
Disney Sports Motocross,0.0,5.2,Menos popular
Disney Sports Skateboarding,0.13,3.1,Menos popular
Disney Sports Snowboarding,0.0,5.1,Menos popular
Disney Sports Soccer,0.03,7.3,Menos popular
Disney Universe,1.19,7.050000000000001,Moderadamente popular
Disney's Aladdin,0.03,5.9,Menos popular
Disney's Atlantis: The Lost Empire,0.12,6.0,Menos popular
Disney's Chicken Little,1.76,7.05,Moderadamente popular
Disney's Chicken Little: Ace In Action,0.16,6.8,Moderadamente popular
Disney's Cinderella: Magical Dreams,0.14,6.0,Menos popular
Disney's Donald Duck Advance,0.07,6.5,Menos popular
Disney's Extreme Skate Adventure,0.4,7.0,Moderadamente popular
Disney's Hide & Sneak,0.03,4.7,Menos popular
Disney's Home on the Range,0.17,5.0,Menos popular
Disney's Kim Possible 2: Drakken's Demise,0.66,8.3,Muy popular
Disney's Kim Possible 3: Team Possible,0.46,9.0,Moderadamente popular
Disney's Kim Possible: Revenge of Monkey Fist,0.51,5.0,Menos popular
Disney's Lilo & Stitch,1.08,8.0,Muy popular
Disney's Magical Mirror Starring Mickey Mouse,0.19,4.0,Menos popular
Disney's Magical Quest 2 Starring Mickey and Minnie,0.06,5.6,Menos popular
Disney's Magical Quest 3 Starring Mickey and Donald,0.02,6.5,Menos popular
Disney's Magical Quest Starring Mickey and Minnie,0.22,6.1,Menos popular
Disney's PK: Out of the Shadows,0.05,4.0,Menos popular
Disney's Party,0.12000000000000001,4.2,Menos popular
Disney's Peter Pan: Return to Never Land,0.11,4.0,Menos popular
Disney's Tarzan: Return to the Jungle,0.35,6.9,Moderadamente popular
Disney's The Jungle Book,0.1,5.0,Menos popular
Disney's Treasure Planet,0.28,6.3,Menos popular
Dissidia 012: Duodecim Final Fantasy,0.89,8.3,Muy popular
Divinity II: Ego Draconis,0.31,6.4,Menos popular
Divinity II: The Dragon Knight Saga,0.13,7.5,Menos popular
Dogz,0.63,4.1,Menos popular
Dokapon Kingdom,0.13,7.2,Menos popular
Dokapon: Monster Hunter,0.0,6.4,Menos popular
Don King Presents: Prizefighter,0.25,4.0,Menos popular
Donkey Kong Barrel Blast,0.62,4.8,Menos popular
Donkey Kong Country 2,1.23,7.6,Moderadamente popular
Donkey Kong Country 3,0.77,7.5,Moderadamente popular
Donkey Kong Jungle Beat,1.34,7.9,Muy popular
Donkey Kong Jungle Climber,0.55,7.8,Moderadamente popular
Donkey Konga 2,0.39,6.5,Menos popular
Doom,0.18000000000000002,8.15,Moderadamente popular
Doom (2016),0.43,8.2,Moderadamente popular
Doom 3 BFG Edition,0.58,6.8,Moderadamente popular
Doom 3: Resurrection of Evil,0.71,8.2,Muy popular
Doom 64,0.47,7.4,Moderadamente popular
Doom II,3.65,8.7,Muy popular
Doshin the Giant,0.14,6.8,Menos popular
Double Dragon Advance,0.05,7.9,Menos popular
Dr. Mario / Puzzle League,0.33,7.5,Moderadamente popular
Dr. Mario 64,0.42,6.0,Menos popular
Dr. Muto,0.03,7.5,Menos popular
Dr. Sudoku,0.01,6.7,Menos popular
Dragon Age II,2.58,7.866666666666667,Muy popular
Dragon Age Origins: Awakening,0.87,8.3,Muy popular
Dragon Age: Inquisition,2.34,8.6,Muy popular
Dragon Age: Origins,4.73,8.766666666666666,Muy popular
Dragon Ball GT: Transformation,0.28,7.7,Moderadamente popular
Dragon Ball Z: Budokai,0.69,6.8,Moderadamente popular
Dragon Ball Z: Budokai Tenkaichi 3,1.03,7.5,Moderadamente popular
Dragon Ball Z: Burst Limit,1.3399999999999999,7.3,Moderadamente popular
Dragon Ball Z: Buu's Fury,0.61,5.9,Menos popular
Dragon Ball Z: Collectible Card Game,0.46,6.0,Menos popular
Dragon Ball Z: Extreme Butoden,0.35,5.0,Menos popular
Dragon Ball Z: Sagas,0.21,5.7,Menos popular
Dragon Ball Z: Supersonic Warriors,0.51,7.1,Moderadamente popular
Dragon Ball Z: Taiketsu,1.08,3.8,Menos popular
Dragon Ball Z: Tenkaichi Tag Team,0.27,6.0,Menos popular
Dragon Ball Z: The Legacy of Goku,1.69,6.5,Menos popular
Dragon Ball Z: The Legacy of Goku II,1.09,7.6,Moderadamente popular
Dragon Ball Z: Ultimate Tenkaichi,1.1600000000000001,5.5,Menos popular
Dragon Ball: Advanced Adventure,0.04,7.7,Menos popular
Dragon Ball: Evolution,0.1,3.4,Menos popular
Dragon Ball: Fusions,0.54,6.3,Menos popular
Dragon Ball: Origins 2,0.16,6.9,Moderadamente popular
Dragon Ball: Raging Blast,1.28,5.699999999999999,Menos popular
Dragon Ball: Raging Blast 2,1.47,6.0,Menos popular
Dragon Ball: Revenge of King Piccolo,0.2,6.1,Menos popular
Dragon Force,0.3,9.0,Moderadamente popular
Dragon Quest Builders: Revive Alefgard,0.22,8.0,Moderadamente popular
Dragon Quest VIII: Journey of the Cursed King,1.15,8.8,Muy popular
Dragon Quest XI: Echoes of an Elusive Age,2.04,9.5,Muy popular
Dragon Valor,0.07,6.1,Menos popular
Dragoneer's Aria,0.07,5.2,Menos popular
Drawn to Life: The Next Chapter,1.4,6.6,Moderadamente popular
Dream Trigger 3D,0.07,5.7,Menos popular
Dreamcast Collection,0.24,5.3,Menos popular
Dreamfall: The Longest Journey,0.0,7.4,Menos popular
Drill Dozer,0.05,7.9,Menos popular
Driven,0.03,6.8,Menos popular
Driver,6.27,8.5,Muy popular
Driver '76,0.24,5.5,Menos popular
Driver 2,4.73,7.0,Moderadamente popular
Driver 2 Advance,0.34,6.8,Moderadamente popular
Driver: Parallel Lines,0.03,5.9,Menos popular
Driver: Renegade,0.09,3.5,Menos popular
Driver: San Francisco,2.01,7.9,Muy popular
Drome Racers,0.03,7.5,Menos popular
Dual Blades,0.0,6.0,Menos popular
Dual Hearts,0.05,7.5,Menos popular
DuckTales: Remastered,0.05,8.6,Menos popular
Duel Masters: Kaijudo Showdown,0.22,5.8,Menos popular
Duel Masters: Sempai Legends,0.29,7.1,Moderadamente popular
Duke Nukem Advance,0.01,8.5,Menos popular
Duke Nukem Forever,1.5899999999999999,4.35,Menos popular
Dungeon Explorer: Warriors of Ancient Arts,0.01,6.1,Menos popular
Dungeon Siege III,0.76,7.25,Moderadamente popular
Dungeons,0.09,6.5,Menos popular
Dungeons & Dragons Tactics,0.1,5.2,Menos popular
Dungeons & Dragons: Daggerdale,0.0,6.0,Menos popular
Dungeons & Dragons: Eye of the Beholder,0.26,4.8,Menos popular
Dynasty Warriors,0.51,6.6,Moderadamente popular
Dynasty Warriors 5 Empires,0.47000000000000003,6.35,Menos popular
Dynasty Warriors 6,0.3,6.2,Menos popular
Dynasty Warriors 6 Empires,0.5800000000000001,6.35,Menos popular
Dynasty Warriors 7,1.15,5.85,Menos popular
Dynasty Warriors Advance,0.11,5.2,Menos popular
Dynasty Warriors Gundam,0.6599999999999999,6.2,Menos popular
Dynasty Warriors: Gundam 2,1.02,5.466666666666666,Menos popular
Dynasty Warriors: Gundam 3,0.72,6.5,Menos popular
Dynasty Warriors: Strikeforce,0.97,6.833333333333333,Moderadamente popular
E.T. The Extra-Terrestrial,0.01,3.5,Menos popular
EA Replay,0.12,5.0,Menos popular
EA Sports Active 2,2.6,7.433333333333334,Moderadamente popular
EA Sports Active: More Workouts,1.16,7.9,Muy popular
EA Sports Grand Slam Tennis,0.92,7.9,Muy popular
EA Sports MMA,0.72,7.65,Moderadamente popular
ESPN Final Round Golf 2002,0.17,6.0,Menos popular
ESPN Great Outdoor Games Bass 2002,0.05,5.5,Menos popular
ESPN X Games Skateboarding,0.18,5.7,Menos popular
ESPN: Sports Connection,0.36,3.0,Menos popular
Earth Defense Force 2017,0.08,7.4,Menos popular
Earth Defense Force: Insect Armageddon,0.39,6.65,Moderadamente popular
Earthworm Jim,0.29,7.2,Moderadamente popular
Earthworm Jim 2,0.03,4.7,Menos popular
East India Company,0.04,7.4,Menos popular
Eat Lead: The Return of Matt Hazard,0.25,5.4,Menos popular
Ecco the Dolphin: Defender of the Future,0.14,7.8,Menos popular
Echo Night,0.12,6.3,Menos popular
"Ed, Edd n Eddy: Jawbreakers!",0.32,5.0,Menos popular
"Ed, Edd n Eddy: The Mis-Edventures",0.6599999999999999,4.699999999999999,Menos popular
Egg Mania,0.0,7.3,Menos popular
Ehrgeiz,0.3,6.7,Moderadamente popular
El Shaddai: Ascension of the Metatron,0.44000000000000006,8.0,Moderadamente popular
Elebits,0.32,7.3,Moderadamente popular
Elebits: The Adventures of Kai and Zero,0.08,7.45,Menos popular
Elf Bowling 1 & 2,0.03,1.4,Menos popular
Empire Earth II,0.03,8.0,Menos popular
Empire Earth III,0.04,4.8,Menos popular
Enchanted Arms,0.39,6.4,Menos popular
Endless Ocean,1.06,6.8,Moderadamente popular
Endless Ocean: Blue World,0.87,7.6,Moderadamente popular
Enemy Territory: Quake Wars,0.45,6.7,Moderadamente popular
Enslaved: Odyssey to the West,1.1,7.95,Muy popular
Enter the Matrix,0.45,6.5,Menos popular
Ephemeral Fantasia,0.08,5.7,Menos popular
Epic Mickey: Power of Illusion,0.5,6.6,Moderadamente popular
Eragon,0.41000000000000003,5.733333333333333,Menos popular
Eternal Sonata,0.76,8.100000000000001,Muy popular
Etrian Mystery Dungeon,0.28,7.6,Moderadamente popular
Etrian Odyssey,0.33,7.4,Moderadamente popular
Etrian Odyssey 2 Untold: Knight of Fafnir,0.14,8.0,Menos popular
Etrian Odyssey II: Heroes of Lagaard,0.26,8.4,Moderadamente popular
Etrian Odyssey V: Beyond the Myth,0.27,7.9,Moderadamente popular
Etrian Odyssey: Millennium Girl,0.26,8.1,Moderadamente popular
Ever Oasis,0.29,8.1,Moderadamente popular
EverGrace,0.35,6.2,Menos popular
Everybody Dance,0.13,6.5,Menos popular
Everybody's Golf,0.56,8.1,Moderadamente popular
Evolution Skateboarding,0.04,4.8,Menos popular
Evolution Worlds,0.08,6.5,Menos popular
Excite Truck,0.53,7.0,Moderadamente popular
ExciteBots: Trick Racing,0.28,7.7,Moderadamente popular
Excitebike 64,1.0,8.9,Muy popular
Exit,0.08,7.9,Menos popular
Extreme Ghostbusters,0.0,7.1,Menos popular
EyePet,1.29,5.9,Menos popular
F-14 Tomcat,0.7,6.9,Moderadamente popular
F-Zero GX,0.65,8.4,Muy popular
F-Zero: GP Legend,0.16,7.1,Moderadamente popular
F.E.A.R.,0.34,8.6,Moderadamente popular
F.E.A.R. 2: Project Origin,1.08,8.1,Muy popular
F.E.A.R. 3,0.9,7.8,Muy popular
F.E.A.R. Files,0.09,6.9,Menos popular
F1 2002,0.02,6.5,Menos popular
F1 2009,1.4100000000000001,7.1,Moderadamente popular
F1 2010,2.27,8.266666666666667,Muy popular
F1 2011,2.27,7.625,Moderadamente popular
F1 2012,1.5,8.2,Muy popular
F1 2013,0.8799999999999999,7.800000000000001,Muy popular
F1 2014,0.23,6.5,Menos popular
F1 2015,0.93,5.800000000000001,Menos popular
F1 2016,1.0,8.4,Muy popular
F1 2017,0.81,8.5,Muy popular
F1 2018,0.7000000000000001,8.7,Muy popular
F1 Grand Prix,0.0,6.0,Menos popular
FIFA 06: Road to FIFA World Cup,0.15,6.1,Menos popular
FIFA 07 Soccer,6.380000000000001,7.971428571428571,Muy popular
FIFA 13,0.49,7.0,Moderadamente popular
FIFA 15,16.28,7.359999999999999,Moderadamente popular
FIFA 16,15.82,8.7,Muy popular
FIFA 17,14.649999999999999,8.850000000000001,Muy popular
FIFA 18,16.12,7.525,Moderadamente popular
FIFA 19,0.75,5.9,Menos popular
FIFA 2000,1.87,8.8,Muy popular
FIFA Soccer,0.12,7.8,Menos popular
FIFA Soccer 06,4.32,8.0,Muy popular
FIFA Soccer 08,3.1,8.2,Muy popular
FIFA Soccer 09,5.88,8.466666666666667,Muy popular
FIFA Soccer 10,8.39,8.525,Muy popular
FIFA Soccer 11,11.77,7.8,Muy popular
FIFA Soccer 12,11.68,8.625,Muy popular
FIFA Soccer 2003,0.05,6.9,Menos popular
FIFA Soccer 2004,3.6100000000000003,8.233333333333333,Muy popular
FIFA Soccer 2005,3.7800000000000002,8.25,Muy popular
FIFA Street 2,0.14,4.9,Menos popular
FIFA World Cup Germany 2006,1.5699999999999998,7.5,Moderadamente popular
FIFA World Cup: Germany 2006,0.03,4.3,Menos popular
Fable III,5.43,7.4,Moderadamente popular
Fable: The Lost Chapters,0.07,8.3,Menos popular
FaceBreaker K.O. Party,0.22,6.7,Moderadamente popular
Fading Shadows,0.04,7.0,Menos popular
Fairytale Fights,0.34,4.85,Menos popular
Fallen Legion: Rise to Glory,0.02,7.0,Menos popular
Fallout 2,0.0,9.2,Menos popular
Fallout 3,9.94,8.933333333333334,Muy popular
Fallout 4,13.510000000000002,8.5,Muy popular
Fallout 76,2.46,4.633333333333333,Menos popular
Fallout: New Vegas,7.25,8.2,Muy popular
Family Guy,0.19,5.5,Menos popular
Fantavision,0.47,8.0,Moderadamente popular
Far Cry 2,3.45,8.433333333333334,Muy popular
Far Cry 4,6.39,8.466666666666667,Muy popular
Far Cry 5,5.8,7.133333333333333,Moderadamente popular
Far Cry Instincts Predator,0.24,8.0,Moderadamente popular
Far Cry: Primal,3.98,7.666666666666667,Moderadamente popular
Farming Simulator 2013,0.39,3.0,Menos popular
Fast Racing Neo,0.01,8.1,Menos popular
Fat Princess: Fistful of Cake,0.13,7.0,Menos popular
Fatal Frame,0.2,7.75,Moderadamente popular
Fatal Frame II: Crimson Butterfly,0.16,7.8,Moderadamente popular
Fatal Frame II: Crimson Butterfly Director's Cut,0.05,8.7,Menos popular
Fatal Frame III: The Tormented,0.08,7.7,Menos popular
Fate/Extella: The Umbral Star,0.21,8.0,Moderadamente popular
Fate/Unlimited Codes Portable,0.05,7.6,Menos popular
Fear Factor: Unleashed,0.14,3.0,Menos popular
Feel the Magic XY/XX,0.29,7.7,Moderadamente popular
Field Commander,0.16,7.7,Moderadamente popular
Fight Night Champion,1.91,8.4,Muy popular
Fight Night Round 3,1.99,7.9,Muy popular
Fight Night Round 4,2.92,8.649999999999999,Muy popular
Fighters Uncaged,0.6,3.2,Menos popular
Fighting Force 64,0.11,5.2,Menos popular
Fighting Vipers,0.4,8.0,Moderadamente popular
Final Fantasy Adventure,0.38,9.0,Moderadamente popular
