title,total_sales,critic_score,popularity
Aidyn Chronicles: The First Mage,-0.3850154406399671,-0.6954085937492953,Menos popular
Aion: Tower of Eternity,-0.42521950667997654,0.26886459659827955,Menos popular
Air Conflicts: Aces of World War II,-0.4051174736599718,-2.555078317991047,Menos popular
Air Conflicts: Secret Wars,-0.393056253847969,-0.6954085937492953,Menos popular
Air Traffic Chaos,-0.4051174736599718,-0.14439534212210997,Menos popular
AirForce Delta Storm,-0.41717869347197467,0.33774125305167746,Menos popular
Akuji the Heartless,-0.3769746274319652,-0.2132719985755079,Menos popular
Alan Wake,0.10949457165214962,0.8887545046788635,Muy popular
Alex Rider: Stormbreaker,-0.39707666045196993,-2.072941722817259,Menos popular
Alexi Lalas International Soccer,-0.39707666045196993,-1.797435097003666,Menos popular
Alice in Wonderland,-0.02719925288388266,-0.2477103268022069,Moderadamente popular
Alice: Madness Returns,0.0612496924041382,-0.16735422760657595,Moderadamente popular
Alien Hominid,-0.38903584724396806,0.8887545046788635,Menos popular
Alien Syndrome,-0.36893381422396326,-1.3497368300565777,Menos popular
Alien Trilogy,-0.236260396291932,0.6821245353186685,Moderadamente popular
Alienators: Evolution Continues,-0.41315828686797373,-0.006642029215313471,Menos popular
Aliens versus Predator,-0.4211991000759756,1.1642611304924553,Menos popular
Aliens vs Predator,0.41906588016022267,-0.6609702655225964,Menos popular
Aliens: Infestation,-0.35687259441196045,1.0265078175856595,Moderadamente popular
All Grown Up! Express Yourself,-0.3528521878079595,-2.2795716921774534,Menos popular
All Points Bulletin,-0.40913788026397274,-0.006642029215313471,Menos popular
All Star Tennis 99,-0.4051174736599718,-1.3152985018298793,Menos popular
All-Pro Football 2K8,-0.3206889349759519,0.33774125305167746,Moderadamente popular
All-Star Baseball 2001,-0.3327501547879548,1.5086444127594463,Moderadamente popular
All-Star Baseball 2002,-0.3367705613919557,-0.3510253114823044,Menos popular
All-Star Baseball 2003,-0.3046073085599481,0.8198778482254643,Moderadamente popular
All-Star Baseball 2004,-0.39707666045196993,0.26886459659827955,Menos popular
Allied General,-0.3488317812039586,-0.4887786243891009,Menos popular
Alone In The Dark,-0.3528521878079595,-2.692831630897843,Menos popular
Alone in the Dark,-0.2282195830839301,-0.4887786243891009,Menos popular
Alone in the Dark: The New Nightmare,-0.3608930010159614,0.13111128369148303,Moderadamente popular
Alpha Protocol,-0.26842364912393957,-0.14439534212210997,Moderadamente popular
Altered Beast: Guardian of the Realms,-0.38903584724396806,-0.3510253114823044,Menos popular
Alundra,-0.3327501547879548,1.2331377869458544,Moderadamente popular
Alundra 2: A New Legend Begins,-0.316668528371951,0.06223462723808447,Moderadamente popular
Amazing Island,-0.40109706705597087,0.06223462723808447,Menos popular
America's Army: True Soldiers,-0.393056253847969,-1.728558440550268,Menos popular
America's Test Kitchen: Let's Get Cooking,-0.316668528371951,1.0265078175856595,Moderadamente popular
American Bass Challenge,-0.4051174736599718,-0.2132719985755079,Menos popular
Amped 3,-0.3608930010159614,0.13111128369148303,Moderadamente popular
Andretti Racing,-0.11564819817190351,0.19998794014488097,Moderadamente popular
Animal Boxing,-0.41315828686797373,-0.6265319372958974,Menos popular
Animal Crossing: Amiibo Festival,-0.2282195830839301,-1.5219284711900738,Menos popular
Animorphs: Shattered Reality,-0.40109706705597087,-2.41732500508425,Menos popular
Anno 1701: Dawn of Discovery,-0.37295422082796426,0.6821245353186685,Menos popular
Anno 2070,0.1376374178801562,1.1642611304924553,Muy popular
Another Code R: A Journey into Lost Memories,-0.40109706705597087,-0.7642852502026933,Menos popular
Anubis II,-0.39707666045196993,-3.794858134152214,Menos popular
Apache: Air Assault,-0.3608930010159614,-0.14439534212210997,Moderadamente popular
Ape Academy 2,-0.42521950667997654,-0.41990196793570234,Menos popular
Ape Escape,0.230106769772178,1.5775210692128454,Muy popular
Ape Escape 2,-0.1719338906279168,0.6821245353186685,Muy popular
Ape Escape 3,-0.37295422082796426,0.544371222411872,Menos popular
Ape Escape Academy,-0.29254608874794524,-1.1775451889230828,Menos popular
Ape Escape: On the Loose,-0.1437910443999102,-0.28214865502890646,Moderadamente popular
Apocalypse,-0.2443012094999339,-0.2132719985755079,Moderadamente popular
Apollo Justice: Ace Attorney,-0.02719925288388266,0.6821245353186685,Muy popular
Aquaman: Battle for Atlantis,-0.4211991000759756,-3.17496822607163,Menos popular
Ar tonelico 2: Melody of Metafalica,-0.3528521878079595,0.13111128369148303,Moderadamente popular
Ar tonelico Qoga: Knell of Ar Ciel,-0.3287297481839538,-0.006642029215313471,Moderadamente popular
Ar tonelico: Melody of Elemia,-0.3850154406399671,-0.006642029215313471,Menos popular
Arc the Lad: Twilight of the Spirits,-0.28048486893594243,0.19998794014488097,Moderadamente popular
Arcade Party Pak,-0.38099503403596613,0.4066179095050754,Menos popular
Arcana Heart,-0.3608930010159614,0.7510011917720664,Moderadamente popular
Arcana Heart 3,-0.34481137459995764,-0.006642029215313471,Moderadamente popular
Arcania: Gothic 4,-0.316668528371951,-0.6954085937492953,Menos popular
Archer Maclean's Mercury,-0.20007673685592342,0.47549456595847395,Moderadamente popular
